,ligand_smiles
0,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1
1,CCCCC1([PH+](C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21.F[B-](F)(F)F
2,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1
3,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1
4,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1
5,c1ccc(P(C2CCCCC2)C2CCCCC2)c(-n2c3ccccc3c3ccccc32)c1
6,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1
7,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1
8,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12
9,Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1
10,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F
11,CN(C)c1ccccc1-c1ccccc1P(c1ccccc1)c1ccccc1
12,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1
13,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1
14,C[PH+](C)C.F[B-](F)(F)F
15,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC
16,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
17,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1
18,c1ccc(P(c2ccccc2)C2CCCCC2)cc1
19,c1ccc(P(c2ccccc2)c2ccccc2)cc1
20,CC(C)(C)P(c1ccccc1)C(C)(C)C
21,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1
22,COc1cc(C(C)(C)C)cc(C(C)(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
